MSN,year,quantity
TNICB,1961,20995.0
TNRCB,1961,2097.0
TNTXB,1961,99621.0
TPOPP,1961,659.0
UOICB,1961,0.0
USICB,1961,0.0
WDCCB,1961,0.0
WDEIB,1961,0.0
WDICB,1961,0.0
WDRCB,1961,0.0
WDTCB,1961,0.0
WSCCB,1961,0.0
WSEIB,1961,0.0
WSICB,1961,0.0
WSTCB,1961,0.0
WWCCB,1961,0.0
WWEIB,1961,0.0
WWICB,1961,0.0
WWTCB,1961,0.0
WWTXB,1961,0.0
WXICB,1961,0.0
WYCCB,1961,0.0
WYEGB,1961,0.0
WYICB,1961,0.0
WYTCB,1961,0.0
WYTXB,1961,0.0
ABICB,1962,0.0
ARICB,1962,1215.0
ARTCB,1962,1215.0
ARTXB,1962,1215.0
AVACB,1962,9351.0
AVTCB,1962,9351.0
AVTXB,1962,9351.0
BDACB,1962,0.0
BDLCB,1962,0.0
BDTCB,1962,0.0
BFLCB,1962,0.0
BFTCB,1962,0.0
BMTCB,1962,0.0
BQICB,1962,0.0
BQTCB,1962,0.0
BYICB,1962,0.0
BYTCB,1962,0.0
CLACB,1962,0.0
CLCCB,1962,0.0
CLEIB,1962,0.0
CLICB,1962,0.0
CLKCB,1962,0.0
CLOCB,1962,0.0
CLRCB,1962,0.0
CLTCB,1962,0.0
CLTXB,1962,0.0
COICB,1962,0.0
DFACB,1962,5678.0
DFCCB,1962,303.0
DFEIB,1962,264.0
DFICB,1962,3288.0
DFRCB,1962,2.0
DFTCB,1962,9535.0
DFTXB,1962,9271.0
DKEIB,1962,264.0
DMTCB,1962,9535.0
ELEXB,1962,0.0
ELIMB,1962,0.0
ELISB,1962,0.0
ELNIB,1962,0.0
EMACB,1962,0.0
EMCCB,1962,0.0
EMICB,1962,0.0
EMLCB,1962,0.0
EMTCB,1962,0.0
EQICB,1962,0.0
EQTCB,1962,0.0
ESACB,1962,0.0
ESCCB,1962,1276.0
ESICB,1962,2740.0
ESRCB,1962,2194.0
ESTCB,1962,6210.0
ESTXB,1962,6210.0
EYICB,1962,0.0
EYTCB,1962,0.0
FFTCB,1962,108072.0
FNICB,1962,0.0
FOICB,1962,0.0
FSICB,1962,0.0
GDPRX,1962,0.0
GECCB,1962,0.0
GEEGB,1962,0.0
GEICB,1962,0.0
GERCB,1962,0.0
GETCB,1962,0.0
GETXB,1962,0.0
HLACB,1962,0.0
HLCCB,1962,283.0
HLICB,1962,202.0
HLRCB,1962,171.0
HLTCB,1962,657.0
HLTXB,1962,657.0
HYCCB,1962,0.0
HYEGB,1962,214.0
HYICB,1962,0.0
HYTCB,1962,214.0
HYTXB,1962,0.0
IQICB,1962,0.0
IQTCB,1962,0.0
IYICB,1962,0.0
IYTCB,1962,0.0
JFACB,1962,26015.0
JFTCB,1962,26015.0
JFTXB,1962,26015.0
KSCCB,1962,233.0
KSICB,1962,80.0
KSRCB,1962,0.0
KSTCB,1962,312.0
KSTXB,1962,312.0
LOACB,1962,0.0
LOCCB,1962,3122.0
LOICB,1962,6705.0
LORCB,1962,5368.0
LOTCB,1962,15196.0
LOTXB,1962,15196.0
LUACB,1962,415.0
LUICB,1962,134.0
LUTCB,1962,549.0
LUTXB,1962,549.0
MBICB,1962,0.0
MGACB,1962,18658.0
MGCCB,1962,301.0
MGICB,1962,517.0
MGTCB,1962,19476.0
MGTXB,1962,19476.0
MMTCB,1962,19476.0
MSICB,1962,0.0
NAICB,1962,0.0
NGACB,1962,0.0
NGCCB,1962,0.0
NGEIB,1962,0.0
NGICB,1962,0.0
NGRCB,1962,0.0
NGTCB,1962,0.0
NGTPB,1962,0.0
NGTXB,1962,0.0
NNTCB,1962,0.0
NUEGB,1962,0.0
NUETB,1962,0.0
OHICB,1962,0.0
OPICB,1962,2799.0
OPTCB,1962,2799.0
OPTXB,1962,2799.0
P1ICB,1962,4830.0
P1TCB,1962,14829.0
P1TXB,1962,14829.0
PAACB,1962,66104.0
PACCB,1962,1350.0
PAEIB,1962,21192.0
PAICB,1962,19252.0
PARCB,1962,174.0
PATCB,1962,108072.0
PATPB,1962,158.0
PATXB,1962,86880.0
PCCCB,1962,0.0
PCEIB,1962,0.0
PCICB,1962,602.0
PCTCB,1962,602.0
PCTXB,1962,602.0
PLICB,1962,0.0
PMTCB,1962,108072.0
PPICB,1962,0.0
PPTCB,1962,0.0
PQACB,1962,0.0
PQCCB,1962,0.0
PQICB,1962,0.0
PQRCB,1962,0.0
PQTCB,1962,0.0
PQTXB,1962,0.0
PYICB,1962,0.0
PYTCB,1962,0.0
RETCB,1962,214.0
RFACB,1962,5989.0
RFCCB,1962,229.0
RFEIB,1962,20929.0
RFICB,1962,10414.0
RFTCB,1962,37561.0
RFTXB,1962,16632.0
SFCCB,1962,0.0
SFEIB,1962,0.0
SFINB,1962,0.0
SFRCB,1962,0.0
SFTCB,1962,0.0
SGICB,1962,2799.0
SNICB,1962,0.0
SOCCB,1962,0.0
SOEGB,1962,0.0
SOICB,1962,0.0
SORCB,1962,0.0
SOTCB,1962,0.0
SOTXB,1962,0.0
TEACB,1962,66104.0
TEAPB,1962,96.6
TECCB,1962,5748.0
TECPB,1962,8.4
TEEIB,1962,21406.0
TEICB,1962,28697.0
TEIPB,1962,42.0
TERCB,1962,7736.0
TERPB,1962,11.3
TETCB,1962,108286.0
TETGR,1962,0.0
TETPB,1962,158.3
TETXB,1962,108286.0
TNACB,1962,66104.0
TNCCB,1962,2626.0
TNICB,1962,21992.0
TNRCB,1962,2368.0
TNTXB,1962,93090.0
TPOPP,1962,684.0
UOICB,1962,0.0
USICB,1962,0.0
WDCCB,1962,0.0
WDEIB,1962,0.0
WDICB,1962,0.0
WDRCB,1962,0.0
WDTCB,1962,0.0
WSCCB,1962,0.0
WSEIB,1962,0.0
WSICB,1962,0.0
WSTCB,1962,0.0
WWCCB,1962,0.0
WWEIB,1962,0.0
WWICB,1962,0.0
WWTCB,1962,0.0
WWTXB,1962,0.0
WXICB,1962,0.0
WYCCB,1962,0.0
WYEGB,1962,0.0
WYICB,1962,0.0
WYTCB,1962,0.0
WYTXB,1962,0.0
ABICB,1963,0.0
ARICB,1963,1124.0
ARTCB,1963,1124.0
ARTXB,1963,1124.0
AVACB,1963,5554.0
AVTCB,1963,5554.0
AVTXB,1963,5554.0
BDACB,1963,0.0
BDLCB,1963,0.0
BDTCB,1963,0.0
BFLCB,1963,0.0
BFTCB,1963,0.0
BMTCB,1963,206.0
BQICB,1963,0.0
BQTCB,1963,0.0
BYICB,1963,0.0
BYTCB,1963,0.0
CLACB,1963,0.0
CLCCB,1963,0.0
CLEIB,1963,0.0
CLICB,1963,0.0
CLKCB,1963,0.0
CLOCB,1963,0.0
CLRCB,1963,0.0
CLTCB,1963,0.0
CLTXB,1963,0.0
COICB,1963,0.0
DFACB,1963,4456.0
DFCCB,1963,344.0
DFEIB,1963,312.0
DFICB,1963,2819.0
DFRCB,1963,3.0
DFTCB,1963,7933.0
DFTXB,1963,7621.0
DKEIB,1963,312.0
DMTCB,1963,7933.0
ELEXB,1963,0.0
ELIMB,1963,0.0
ELISB,1963,0.0
ELNIB,1963,0.0
EMACB,1963,0.0
EMCCB,1963,0.0
EMICB,1963,0.0
EMLCB,1963,0.0
EMTCB,1963,0.0
EQICB,1963,0.0
EQTCB,1963,0.0
ESACB,1963,0.0
ESCCB,1963,1439.0
ESICB,1963,3159.0
ESRCB,1963,2497.0
ESTCB,1963,7095.0
ESTXB,1963,7095.0
EYICB,1963,0.0
EYTCB,1963,0.0
FFTCB,1963,113818.0
FNICB,1963,0.0
FOICB,1963,0.0
FSICB,1963,163.0
GDPRX,1963,0.0
GECCB,1963,0.0
GEEGB,1963,0.0
GEICB,1963,0.0
GERCB,1963,0.0
GETCB,1963,0.0
GETXB,1963,0.0
HLACB,1963,3.0
HLCCB,1963,273.0
HLICB,1963,443.0
HLRCB,1963,165.0
HLTCB,1963,884.0
HLTXB,1963,884.0
HYCCB,1963,0.0
HYEGB,1963,240.0
HYICB,1963,0.0
HYTCB,1963,240.0
HYTXB,1963,0.0
IQICB,1963,0.0
IQTCB,1963,0.0
IYICB,1963,0.0
IYTCB,1963,0.0
JFACB,1963,33588.0
JFTCB,1963,33588.0
JFTXB,1963,33588.0
KSCCB,1963,199.0
KSICB,1963,82.0
KSRCB,1963,0.0
KSTCB,1963,281.0
KSTXB,1963,281.0
LOACB,1963,0.0
LOCCB,1963,3478.0
LOICB,1963,7635.0
LORCB,1963,6034.0
LOTCB,1963,17147.0
LOTXB,1963,17147.0
LUACB,1963,415.0
LUICB,1963,134.0
LUTCB,1963,549.0
LUTXB,1963,549.0
MBICB,1963,0.0
MGACB,1963,18976.0
MGCCB,1963,292.0
MGICB,1963,465.0
MGTCB,1963,19733.0
MGTXB,1963,19733.0
MMTCB,1963,19733.0
MSICB,1963,0.0
NAICB,1963,0.0
NGACB,1963,0.0
NGCCB,1963,0.0
NGEIB,1963,0.0
NGICB,1963,0.0
NGRCB,1963,0.0
NGTCB,1963,0.0
NGTPB,1963,0.0
NGTXB,1963,0.0
NNTCB,1963,0.0
NUEGB,1963,0.0
NUETB,1963,0.0
OHICB,1963,0.0
OPICB,1963,2868.0
OPTCB,1963,2868.0
OPTXB,1963,2868.0
P1ICB,1963,5085.0
P1TCB,1963,11252.0
P1TXB,1963,11252.0
PAACB,1963,69466.0
PACCB,1963,1328.0
PAEIB,1963,24002.0
PAICB,1963,18855.0
PARCB,1963,168.0
PATCB,1963,113818.0
PATPB,1963,166.9
PATXB,1963,89816.0
PCCCB,1963,0.0
PCEIB,1963,0.0
PCICB,1963,877.0
PCTCB,1963,877.0
PCTXB,1963,877.0
PLICB,1963,0.0
PMTCB,1963,113818.0
PPICB,1963,0.0
PPTCB,1963,0.0
PQACB,1963,0.0
PQCCB,1963,0.0
PQICB,1963,0.0
PQRCB,1963,0.0
PQTCB,1963,0.0
PQTXB,1963,0.0
PYICB,1963,0.0
PYTCB,1963,0.0
RETCB,1963,446.0
RFACB,1963,6474.0
RFCCB,1963,221.0
RFEIB,1963,23691.0
RFICB,1963,10044.0
RFTCB,1963,40429.0
RFTXB,1963,16738.0
SFCCB,1963,0.0
SFEIB,1963,0.0
SFINB,1963,0.0
SFRCB,1963,0.0
SFTCB,1963,0.0
SGICB,1963,2704.0
SNICB,1963,0.0
SOCCB,1963,0.0
SOEGB,1963,0.0
SOICB,1963,0.0
SORCB,1963,0.0
SOTCB,1963,0.0
SOTXB,1963,0.0
TEACB,1963,69466.0
TEAPB,1963,101.9
TECCB,1963,6244.0
TECPB,1963,9.2
TEEIB,1963,24242.0
TEICB,1963,29856.0
TEIPB,1963,43.8
TERCB,1963,8699.0
TERPB,1963,12.8
TETCB,1963,114265.0
TETGR,1963,0.0
TETPB,1963,167.5
TETXB,1963,114265.0
TNACB,1963,69466.0
TNCCB,1963,2767.0
TNICB,1963,22221.0
TNRCB,1963,2665.0
TNTXB,1963,97118.0
TPOPP,1963,682.0
UOICB,1963,0.0
USICB,1963,0.0
WDCCB,1963,0.0
WDEIB,1963,0.0
WDICB,1963,206.0
WDRCB,1963,0.0
WDTCB,1963,206.0
WSCCB,1963,0.0
WSEIB,1963,0.0
WSICB,1963,0.0
WSTCB,1963,0.0
WWCCB,1963,0.0
WWEIB,1963,0.0
WWICB,1963,206.0
WWTCB,1963,206.0
WWTXB,1963,206.0
WXICB,1963,0.0
WYCCB,1963,0.0
WYEGB,1963,0.0
WYICB,1963,0.0
WYTCB,1963,0.0
WYTXB,1963,0.0
ABICB,1964,0.0
ARICB,1964,1464.0
ARTCB,1964,1464.0
ARTXB,1964,1464.0
AVACB,1964,2721.0
AVTCB,1964,2721.0
AVTXB,1964,2721.0
BDACB,1964,0.0
BDLCB,1964,0.0
BDTCB,1964,0.0
BFLCB,1964,0.0
BFTCB,1964,0.0
BMTCB,1964,224.0
BQICB,1964,0.0
BQTCB,1964,0.0
BYICB,1964,0.0
BYTCB,1964,0.0
CLACB,1964,0.0
CLCCB,1964,0.0
CLEIB,1964,0.0
CLICB,1964,0.0
CLKCB,1964,0.0
CLOCB,1964,0.0
CLRCB,1964,0.0
CLTCB,1964,0.0
CLTXB,1964,0.0
COICB,1964,0.0
DFACB,1964,6563.0
DFCCB,1964,392.0
DFEIB,1964,343.0
DFICB,1964,2960.0
DFRCB,1964,3.0
DFTCB,1964,10260.0
DFTXB,1964,9917.0
DKEIB,1964,343.0
DMTCB,1964,10260.0
ELEXB,1964,0.0
ELIMB,1964,0.0
ELISB,1964,0.0
ELNIB,1964,0.0
EMACB,1964,0.0
EMCCB,1964,0.0
EMICB,1964,0.0
EMLCB,1964,0.0
EMTCB,1964,0.0
EQICB,1964,0.0
EQTCB,1964,0.0
ESACB,1964,0.0
ESCCB,1964,1561.0
ESICB,1964,3550.0
ESRCB,1964,2688.0
ESTCB,1964,7799.0
ESTXB,1964,7799.0
EYICB,1964,0.0
EYTCB,1964,0.0
FFTCB,1964,122004.0
FNICB,1964,0.0
FOICB,1964,0.0
FSICB,1964,159.0
GDPRX,1964,0.0
GECCB,1964,0.0
GEEGB,1964,0.0
GEICB,1964,0.0
GERCB,1964,0.0
GETCB,1964,0.0
GETXB,1964,0.0
HLACB,1964,12.0
HLCCB,1964,289.0
HLICB,1964,505.0
HLRCB,1964,175.0
HLTCB,1964,980.0
HLTXB,1964,980.0
HYCCB,1964,0.0
HYEGB,1964,294.0
HYICB,1964,911.0
HYTCB,1964,1205.0
HYTXB,1964,911.0
